,Customer,Building,BuildingType,Area,BuildingYear,Electricity2019,Electricity2020,Heating2019,Heating2020,Energy2019,Energy2020,EnergyperArea2019
53,Tofsvaktlana,Kungsfågel,Kontor,3800,1984,59.69755789,42.32368421,57.27368421,54.67947368,116.9712421,97.00315789,0.03078190582
247,Lommarna,Morkulla,Flerbostadshus,3784,1980,13.66958245,13.29920719,95.50079278,97.61363636,109.1703752,110.9128436,0.028850522
38,Trädhönsen,Grågam,Kontor,5030,1922,46.38517694,53.16415109,98.23180915,86.92644135,144.6169861,140.0905924,0.02875089187
199,Trappfåglarna,Vaktel,Flerbostadshus,3074,1987,8.247270657,7.885533507,79.51398829,67.22901757,87.76125895,75.11455107,0.02854953121
143,Ralltranorna,Brandkronad Kungsfågel,Kontor,2288,1972,21.68487762,19.06988645,42.98156266,24.19352468,64.66644028,43.26341114,0.02826330432
184,Kaguerna,Nunnestenskvätta,Kontor,2140,null,20.41182243,20.23415888,39.92856963,36.79719626,60.34039205,57.03135514,0.02819644489
277,Lommarna,Sandtärna,Flerbostadshus,3354,1982,12.54809183,10.63121646,81.51341701,78.71198569,94.06150884,89.34320215,0.02804457628
274,Lommarna,Spansk Sparv,Flerbostadshus,2280,2017,10.40513158,10.41780702,52.72518288,45.11842105,63.13031446,55.53622807,0.02768873441
268,Lommarna,Större Piplärka,Flerbostadshus,2659,2017,7.98875141,6.545280181,65.55450051,58.6393381,73.54325193,65.18461828,0.0276582369
34,Trädhönsen,Brokig Kardinal,Kontor,3240,1922,10.42682037,10.44567963,78.60123457,68.87901235,89.02805494,79.32469198,0.02747779473
275,Lommarna,Skärpiplärka,Flerbostadshus,3354,1982,14.30005963,13.26529517,77.5740162,73.03816339,91.87407583,86.30345856,0.02739238993
336,Tranorna,Gräshoppsångare,Flerbostadshus,3732,1862,21.55764791,23.49330118,79.99356913,61.97749196,101.551217,85.47079314,0.02721093704
334,Tranorna,Svarthakedopping,Flerbostadshus,3665,1964,52.72677053,47.95643383,46.57489768,52.28594816,99.30166821,100.242382,0.02709458887
273,Lommarna,Pilfink,Flerbostadshus,2280,2017,6.347061404,8.187631564,54.8375002,43.72324561,61.1845616,51.91087718,0.02683533403
276,Lommarna,Storspov,Flerbostadshus,3354,1982,12.40535778,11.77528623,77.28373088,67.66696482,89.68908866,79.44225104,0.02674093281
226,Trappfåglarna,Blek Tornseglare,Flerbostadshus,4468,null,19.83194002,15.64405909,99.2287955,528.9936708,119.0607355,544.6377298,0.02664743409
270,Lommarna,Kornsparv,Flerbostadshus,2659,2016,8.876901091,8.775667544,61.97599357,53.23279428,70.85289466,62.00846183,0.02664644402
348,Simrallarna,Gulärla,Flerbostadshus,2400,1968,11.77302083,7.755733333,51.91862745,48.02495206,63.69164828,55.78068539,0.02653818679
269,Lommarna,Lappuggla,Flerbostadshus,2659,2017,9.815795412,8.521511847,60.57471481,50.66453554,70.39051022,59.18604739,0.02647254991
58,Tofsvaktlana,Mindre Skrikörn,Kontor,2843,1958,14.10556947,12.29314105,61.14667605,55.50826592,75.25224552,67.80140696,0.02646930901
73,Fasanfåglarna,Mongolfink,Kontor,5500,1958,68.75486927,66.39569455,75.95885821,51.86,144.7137275,118.2556945,0.02631158681
272,Lommarna,Rosentärna,Flerbostadshus,2659,2017,6.630913877,6.309966153,62.16807698,48.15983452,68.79899085,54.46980068,0.02587400935
76,Fasanfåglarna,Sandlöpare,Kontor,3358,null,30.24078618,33.90673913,56.03342079,58.37259708,86.27420697,92.27933621,0.02569214025
309,Tranorna,Mindre Gulbena,Flerbostadshus,4749,1968,42.22476265,42.76677379,77.66056012,72.91008633,119.8853228,115.6768601,0.02524432992
145,Ralltranorna,Gyllensparv,Kontor,3464,1959,86.25017032,85.59071594,0.8634526559,0.67147806,87.11362298,86.262194,0.02514827453
