"","Customer","Building","BuildingType","Area","BuildingYear","Electricity2019","Electricity2020","Heating2019","Heating2020"
"166","Simrallarna","Svarthuvad Trut","Kontor","551","2010",32.6687840254084,33.162504537205,103.683751468239,93.5338094954627
"167","Dunrallarna","Sibirisk Tundrapipare","Kontor","2265","null",7.71390728476821,2.97897172980131,44.7275938189845,36.1163754975717
"168","Dunrallarna","Bläsgås","Kontor","16114","null",45.4940548617969,27.0540399652477,53.3280997890034,42.3404609762317
"169","Dunrallarna","Storlabb","Kontor","5519","1966",22.164350065048,16.7576271063599,84.5982967928973,66.7249501721326
"170","Dunrallarna","Alpkaja","Kontor","3312","null",5.59413949275363,6.55099335748793,61.1422101449275,54.7007850241546
"171","Dunrallarna","Fältsångare","Kontor","3839","null",15.441572806981,16.3957673873405,70.4787705131545,52.0494920552227
"172","Dunrallarna","Rödspov","Kontor","6400","1988",32.1236874967187,34.7089375,68.7641098023437,60.0065801328125
"173","Dunrallarna","Ringnäbbad Mås","Kontor","5517","null",23.018075040783,24.2226699293092,65.1676635852819,46.4944716331339
"174","Dunrallarna","Fjällabb","Kontor","21816","null",22.6940594059406,26.8967363403007,21.0180143014301,23.8531811514485
"175","Dunrallarna","Kornknarr","Kontor","3458","null",17.1088490456911,16.8155581260845,40.2466743782533,31.8155205769231
"176","Dunrallarna","Smutsgam","Kontor","3776","null",13.4914194915254,9.4646186440678,72.0280720338983,43.7976458350106
"177","Dunrallarna","Dvärgsångare","Kontor","6633","null",22.0732700135685,19.1156942559928,57.4341926729986,44.5303251456354
"178","Dunrallarna","Brun Glada/Gulnäbbad Glada","Kontor","5805","2013",6.45216193023256,6.32838931955211,19.7195521102498,17.5509043927649
"179","Rallarna","Steglits","Kontor","2211","1900",93.9657530529173,84.7458684106736,137.014925373134,93.4690185436454
"180","Kaguerna","Varfågel","Kontor","4566","null",8.00105124857643,30.5858300481822,36.9622128777924,41.3806395094174
"181","Kaguerna","Ökenstenskvätta","Kontor","899","null",38.3147942157953,39.5383759733037,98.6429766407119,95.4427141268076
"182","Kaguerna","Mongolpipare","Kontor","5670","null",50.5201940014109,51.2751322751323,22.9848102292769,20.9128747795414
"183","Kaguerna","Rödkindad Sparv","Kontor","8114","null",36.3020088736751,32.8860611289128,27.439954276559,22.9769534138526
"184","Kaguerna","Nunnestenskvätta","Kontor","2140","null",20.4118224285047,20.2341588785046,39.9285696261682,36.7971962616822
"185","Kaguerna","Spetsbergsgrissla","Kontor","3860","null",37.5423575137306,35.3651295336787,32.1846888601036,28.2072538860104
"186","Kaguerna","Tatarfalk","Kontor","4941","null",54.0867030947177,52.0111313499292,4.0548471969237,5.38554948391014
"187","Kaguerna","Grönsiska","Kontor","1790","null",59.5220670379888,62.1498882681566,46.1529149748603,46.6782250837987
"188","Kaguerna","Gulnäbbad Lira","Kontor","8999","1987",24.8075907334148,22.2390271141238,36.3584047116346,38.5087231914657
"189","Solrallarna","Kragtrapp","Flerbostadshus","9651","null",9.83346907056264,9.94625841881671,95.5523303284634,84.0226867682106
"190","Solrallarna","Träsksångare","Flerbostadshus","867","null",6.87543252595156,6.75547866205306,36.7381776239908,31.6401384083045
"191","Solrallarna","Kungsörn","Flerbostadshus","867","null",5.84429065743945,6.29642445213379,38.0911188004614,34.7946943483276
"192","Solrallarna","Bronsibis","Flerbostadshus","867","null",6.16147635524798,6.20299884659746,38.9965397923875,34.7900807381776
"193","Tropikfåglarna","Rostskogstrast","Flerbostadshus","1234","null",77.7876823338736,76.9106102106969,983.299779844408,931.215559157212
"194","Tropikfåglarna","Hussvala","Flerbostadshus","123","null",735.430894308943,554.188542227642,6093.17808485365,5860.73170731707
"195","Tropikfåglarna","Lärkfalk","Flerbostadshus","4341","null",28.7447938263073,29.352061736927,44.7823082239115,42.1216309606082
"196","Trappfåglarna","Stubbstjärtseglare","Flerbostadshus","1423","1953",10.9807371749824,11.4057392832045,72.0583274771609,69.1222768798313
"197","Trappfåglarna","Ladusvala","Flerbostadshus","1369","1953",12.4984463111761,11.1748181154127,77.8743608473338,72.9802775748722
"198","Trappfåglarna","Korp","Flerbostadshus","1395","1953",10.6250781369176,10.4702071684588,79.1978494623656,76.3082437275986
"199","Trappfåglarna","Vaktel","Flerbostadshus","3074","1987",8.24727065679897,7.88553350683149,79.5139882888744,67.2290175666884
"200","Trappfåglarna","Aftonfalk","Flerbostadshus","598","1991",2.93501672408027,2.97989966555183,55.0969899665552,55.1989966555184
"201","Trappfåglarna","Rödstrupig Sångare","Flerbostadshus","2295","1938",17.8344967320261,12.1186997821353,28.0339869281046,38.7185185185185
"202","Trappfåglarna","Svartvingad Vadarsvala","Flerbostadshus","1591","1936",7.83743683155247,8.18750157133878,70.345694531741,68.9629164047769
"203","Trappfåglarna","Praktejder","Flerbostadshus","1253","1800",9.33662809266248,8.69730646448524,79.3822825219473,69.122905027933
"204","Trappfåglarna","Mindre Sumphöna","Flerbostadshus","2315","1904",11.9219006483801,10.6704103671707,102.341252699784,93.6673866090713
"205","Trappfåglarna","Beigekindad Skogstrast","Flerbostadshus","1448","1957",11.3123929551105,10.942479281768,282.398080110497,261.46408839779
"206","Trappfåglarna","Klippsvala","Flerbostadshus","3585","1955",5.15600474225941,5.10380362622035,69.4476987447699,65.3723849372385
"207","Trappfåglarna","Småsnäppa","Flerbostadshus","2293","1958",9.26790013083296,9.6165582206716,108.731792411688,93.3807239424335
"208","Trappfåglarna","Brunand","Flerbostadshus","1876","1932",6.3744323022388,6.78603678038379,52.4909381663113,56.1892324093817
"209","Trappfåglarna","Örnvråk","Flerbostadshus","1785","1991",10.9777876756303,10.3948683473389,58.4890756302521,55.5680672268908
"210","Trappfåglarna","Stäpphök","Flerbostadshus","2644","1947",5.8534228441755,4.48236384266263,54.8006807866868,46.1985627836611
"211","Trappfåglarna","Fältpiplärka","Flerbostadshus","2048","1984",21.9093330083007,22.06506640625,48.1591796875,40.0830078125
"212","Trappfåglarna","Gråhuvad Sparv","Flerbostadshus","426","1880",9.33884976291081,8.77974178403757,128.933579812206,125.276995305164
"213","Trappfåglarna","Bergand","Flerbostadshus","601","1930",7.3436489168053,6.58502329450915,147.597337770383,149.004991680532
"214","Trappfåglarna","Silltrut","Flerbostadshus","1154","1930",7.22180849306759,7.07224610051993,67.0883882149047,60.0615251299827
